Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
44;22010;"Zeitschrift fur Anorganische und Allgemeine Chemie";journal;"00442313, 15213749";0,322;Q3;68;304;763;14546;1002;754;1,36;47,85;Germany;Western Europe;"Wiley-VCH Verlag";"1892-1945, 1947-2021";"Inorganic Chemistry (Q3)";"Chemistry"
45;25944;"Macromolecular Theory and Simulations";journal;"15213919, 10221344";0,311;Q3;56;57;109;2313;175;107;1,68;40,58;Germany;Western Europe;"Wiley-VCH Verlag";"1992-2021";"Condensed Matter Physics (Q3); Inorganic Chemistry (Q3); Materials Chemistry (Q3); Organic Chemistry (Q3); Polymers and Plastics (Q3)";"Chemistry; Materials Science; Physics and Astronomy"
46;37473;"Gold Bulletin";journal;"00171557";0,307;Q3;63;14;60;522;85;60;1,55;37,29;Germany;Western Europe;"Springer Berlin";"1971-2021";"Inorganic Chemistry (Q3); Materials Science (miscellaneous) (Q3)";"Chemistry; Materials Science"
47;21100407281;"Zeitschrift fur Kristallographie - Crystalline Materials";journal;"21944946, 21967105";0,297;Q3;18;38;215;1550;236;207;1,17;40,79;Germany;Western Europe;"de Gruyter";"2010, 2012-2021";"Condensed Matter Physics (Q3); Inorganic Chemistry (Q3); Materials Science (miscellaneous) (Q3)";"Chemistry; Materials Science; Physics and Astronomy"
48;25311;"Russian Journal of Inorganic Chemistry";journal;"00360236, 15318613";0,292;Q3;34;261;779;9853;1097;779;1,63;37,75;United States;Northern America;"Pleiades Publishing";"1996-2021";"Inorganic Chemistry (Q3); Materials Science (miscellaneous) (Q3); Physical and Theoretical Chemistry (Q3)";"Chemistry; Materials Science"
49;17600154901;"Journal of Superhard Materials";journal;"19349408, 10634576";0,276;Q3;24;46;166;1398;142;156;0,97;30,39;United States;Northern America;"Pleiades Publishing";"2007-2021";"Inorganic Chemistry (Q3); Materials Science (miscellaneous) (Q3)";"Chemistry; Materials Science"
50;21100826823;"Iranian Journal of Catalysis";journal;"23454865, 22520236";0,264;Q3;23;38;128;2048;234;127;1,53;53,89;Iran;Middle East;"Islamic Azad University";"2012-2021";"Inorganic Chemistry (Q3); Catalysis (Q4); Organic Chemistry (Q4)";"Chemical Engineering; Chemistry"
51;25308;"Reviews in Inorganic Chemistry";journal;"01934929, 21910227";0,264;Q3;24;24;32;3153;73;32;2,10;131,38;Germany;Western Europe;"Walter de Gruyter GmbH";"1985-1990, 1992-2021";"Inorganic Chemistry (Q3)";"Chemistry"
52;19700187636;"Liquid Crystals Today";journal;"14645181, 1358314X";0,263;Q4;15;10;46;124;41;32;1,19;12,40;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1991-1996, 2000-2021";"Condensed Matter Physics (Q3); Materials Chemistry (Q3); Inorganic Chemistry (Q4)";"Chemistry; Materials Science; Physics and Astronomy"
53;25268;"Inorganic Materials";journal;"16083172, 00201685";0,261;Q4;41;210;691;5574;656;691;0,94;26,54;United States;Northern America;"Pleiades Publishing";"1996-2021";"Chemical Engineering (miscellaneous) (Q3); Materials Chemistry (Q3); Metals and Alloys (Q3); Inorganic Chemistry (Q4)";"Chemical Engineering; Chemistry; Materials Science"
54;21100316073;"Acta crystallographica. Section C, Structural chemistry";journal;"20532296";0,247;Q4;19;104;593;3602;586;588;1,01;34,63;United States;Northern America;"John Wiley &amp; Sons Inc.";"1987-1988, 1990-1991, 1994-1995, 2014-2021";"Materials Chemistry (Q3); Medicine (miscellaneous) (Q3); Condensed Matter Physics (Q4); Inorganic Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry; Materials Science; Medicine; Physics and Astronomy"
55;21100826271;"Inorganic and Nano-Metal Chemistry";journal;"24701556, 24701564";0,244;Q4;45;344;372;14425;596;372;1,60;41,93;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2017-2021";"Inorganic Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry"
56;25331;"Wuji Cailiao Xuebao/Journal of Inorganic Materials";journal;"1000324X";0,233;Q4;27;174;580;6600;661;580;1,33;37,93;China;Asiatic Region;"Science Press";"1993-2021";"Materials Science (miscellaneous) (Q3); Inorganic Chemistry (Q4)";"Chemistry; Materials Science"
57;19200157041;"Journal of Elementology";journal;"16442296";0,231;Q4;25;72;308;2581;299;307;0,92;35,85;Poland;Eastern Europe;"";"2008-2021";"Ecology (Q3); Health, Toxicology and Mutagenesis (Q4); Inorganic Chemistry (Q4); Pollution (Q4)";"Chemistry; Environmental Science"
58;25288;"Phosphorus, Sulfur and Silicon and the Related Elements";journal;"10426507, 15635325";0,231;Q4;43;136;536;5033;615;532;1,11;37,01;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2021";"Biochemistry (Q4); Inorganic Chemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
59;25141;"Zeitschrift fur Kristallographie - New Crystal Structures";journal;"14337266";0,182;Q4;38;399;1303;5570;338;1302;0,30;13,96;Germany;Western Europe;"Walter de Gruyter GmbH";"1954, 1956-2021";"Condensed Matter Physics (Q4); Inorganic Chemistry (Q4); Materials Science (miscellaneous) (Q4)";"Chemistry; Materials Science; Physics and Astronomy"
60;24648;"Journal of Structural Chemistry";journal;"00224766, 15738779";0,180;Q4;32;213;729;7274;553;729;0,86;34,15;United States;Northern America;"Pleiades Publishing";"1960-2021";"Inorganic Chemistry (Q4); Materials Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry; Materials Science"
61;25258;"Kuei Suan Jen Hsueh Pao/ Journal of the Chinese Ceramic Society";journal;"04545648";0,176;Q4;30;302;738;12114;521;738;0,73;40,11;China;Asiatic Region;"Chinese Ceramic Society";"2000-2021";"Ceramics and Composites (Q4); Inorganic Chemistry (Q4); Materials Chemistry (Q4)";"Chemistry; Materials Science"
62;21100201539;"Spectroscopic Properties of Inorganic and Organometallic Compounds";book series;"14651939, 05848555";0,170;Q4;10;7;9;810;3;8;0,00;115,71;United Kingdom;Western Europe;"Royal Society of Chemistry";"2012-2014, 2016, 2018, 2021";"Inorganic Chemistry (Q4); Organic Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry"
63;21669;"InterCeram: International Ceramic Review";journal;"00205214";0,165;Q4;17;30;123;222;40;99;0,24;7,40;Germany;Western Europe;"Expert Fachmedien Gmbh";"1979, 1983-1986, 1993-2021";"Ceramics and Composites (Q4); Inorganic Chemistry (Q4); Materials Chemistry (Q4)";"Chemistry; Materials Science"
64;18300156734;"Main Group Chemistry";journal;"17451167, 10241221";0,160;Q4;20;55;108;2151;74;108;0,69;39,11;Netherlands;Western Europe;"IOS Press BV";"1995-2000, 2005-2021";"Inorganic Chemistry (Q4); Materials Chemistry (Q4); Organic Chemistry (Q4)";"Chemistry; Materials Science"
65;24110;"Indian Journal of Chemistry - Section A Inorganic, Physical, Theoretical and Analytical Chemistry";journal;"09750975, 03764710";0,157;Q4;41;3;35;140;18;35;0,80;46,67;India;Asiatic Region;"Scientific Publishers of India";"1996-2021";"Inorganic Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry"
66;21101034401;"Proceedings of the National Academy of Sciences of Belarus, Chemical Series";journal;"15618331, 25242342";0,147;Q4;2;49;53;1093;11;38;0,21;22,31;Belarus;Eastern Europe;"Publishing House Belaruskaya Navuka";"2020-2021";"Analytical Chemistry (Q4); Chemistry (miscellaneous) (Q4); Inorganic Chemistry (Q4); Organic Chemistry (Q4)";"Chemistry"
67;25332;"Chinese Journal of Inorganic Chemistry";journal;"10014861";0,145;Q4;29;1;474;47;268;474;0,77;47,00;China;Asiatic Region;"Chinese Chemical Society";"1996-2020";"Inorganic Chemistry (Q4)";"Chemistry"
68;24097;"Journal of the Indian Chemical Society";journal;"00194522";0,128;Q4;33;235;368;12815;115;368;0,28;54,53;India;Asiatic Region;"Elsevier BV";"1973-1985, 1987-1991, 1996-2021";"Drug Discovery (Q4); Electrochemistry (Q4); Inorganic Chemistry (Q4); Organic Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry; Pharmacology, Toxicology and Pharmaceutics"
